1535;2055;2055
3639;3310;3310
1365;1256;1256
4207;4223;4223
1137;2055;2055
569;1427;1427
1706;2055;2055
4321;4109;4109
1592;1655;1655
1592;1256;1256
1024;913;913
3070;4223;4223
4264;4337;4337
1137;1028;1028
1365;1826;1826
1365;970;970
1820;1598;1598
740;1598;1598
853;1826;1826
1535;1712;1712
3980;3652;3652
2502;1484;1484
2502;3424;3424
2616;3196;3196
2666;4109;4109
910;1028;1028
2047;3082;3082
2274;2739;2739
2616;3652;3652
5685;4908;4908
1820;2968;2968
1422;1940;1940
1535;2055;2055
1820;1028;1028
1706;1598;1598
4094;4337;4337
1081;1598;1598
910;1826;1826
2502;1484;1484
853;1826;1826
1137;514;514
910;1826;1826
1479;1370;1370
2274;3196;3196
1592;1598;1598
2047;3082;3082
4548;3995;3995
2274;2283;2283
3411;4565;4565
967;1826;1826
967;1940;1940
1706;2511;2511
2957;2968;2968
967;685;685
1365;2055;2055
4776;3995;3995
1706;2055;2055
1535;2283;2283
2047;1142;1142
1422;2112;2112
2274;2853;2853
2843;4337;4337
3980;3652;3652
1365;1370;1370
4548;4337;4337
740;2169;2169
1024;1484;1484
853;1940;1940
2616;3424;3424
1137;1940;1940
626;1598;1598
4548;3652;3652
5685;4337;4337
910;1484;1484
4151;4223;4223
3411;4451;4451
1024;1484;1484
2047;3196;3196
2047;2397;2397
910;913;913
1365;799;799
