2.045;1
2.695;2
1.855;3
2.92;4
2.175;68
1.95;5
1.855;6
1.98;7
3.345;75
2.89;8
2.045;9
1.98;10
3.345;74
2.695;72
3.345;69
1.98;11
3.345;12
2.92;13
1.82;14
1.915;15
1.72;16
1.98;17
1.98;18
2.11;19
1.98;20
2.565;21
1.755;81
1.855;22
2.695;23
2.86;24
2.795;25
1.855;26
2.37;27
2.565;28
3.345;29
3.345;30
2.565;31
2.92;76
1.915;32
1.625;34
1.885;35
2.53;46
1.915;78
2.11;70
3.345;36
2.045;37
1.98;38
1.98;71
1.915;39
2.175;40
2.53;79
1.56;41
1.98;42
1.98;43
2.53;44
1.98;45
2.695;47
2.045;33
2.21;48
2.955;49
2.175;50
2.175;51
2.435;52
2.11;80
2.695;53
1.69;54
1.98;55
3.345;56
2.08;57
2.305;58
2.565;63
3.345;73
1.755;59
2.14;60
2.5;61
3.345;62
1.915;64
2.955;65
1.785;77
2.175;66
2.045;67
